VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_TYPE_DESC,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2023,WAGON,TOYOTA,Station Wagon,64,4,4.1875,5.65625,1809.21875,1.28125
2023,WAGON,TOYOTA,Taxi,2,4,5,7,2005,1
2023,WAGON,VOLKS,Car,2,4,3.5,4.5,1368,1
2023,WAGON,VOLKS,Station Wagon,25,4,3.8,5.16,1532.68,1.12
2023,WAGON,VOLVO,Station Wagon,1,4,4,5,2310,1
2023,WRKP U,TOYOTA,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,1,4,4,5,2560,1
2024,COUPE,B M W,Car,1,4,6,4,1725,1
2024,DC UTE,FORD,Utility,4,4,5,5,2232.5,1.5
2023,WAGON,REN,Station Wagon,4,4,4,5,1551.5,2
2023,WAGON,SKODA,Station Wagon,7,4,4,5.857142857,1517,1.142857143
2023,WAGON,SSANGY,Station Wagon,2,4,4,6,1745,1.5
2023,WAGON,SUBARU,Car,1,4,4,5,1629,1
2023,WAGON,SUBARU,Station Wagon,20,4,4,5,1562.75,1
2023,WAGON,SUZUKI,Car,1,4,4,5,895,1
2023,WAGON,SUZUKI,Station Wagon,3,4,4,4.666666667,1146.666667,1
2023,WAGON,TOYOTA,Car,5,4,4.4,5.4,1791,1.2
2023,WAGON,MITSUB,Car,3,4,4,6.333333333,1650,1.333333333
2023,WAGON,MITSUB,Station Wagon,24,4,4,6.166666667,1654.708333,1.5
2023,WAGON,MITSUB,Taxi,1,4,4,7,1700,2
2023,WAGON,NISSAN,Car,1,4,4,5,1562,2
2023,WAGON,NISSAN,Station Wagon,30,4,4.166666667,5.566666667,1677.666667,1.366666667
2023,WAGON,PEUG,Station Wagon,1,4,3,5,1264,1
2023,WAGON,PORSCH,Station Wagon,2,4,6,5,1898,1
2023,WAGON,R ROV,Station Wagon,1,4,4,5,1827,5
2023,WAGON,LEXUS,Station Wagon,10,4,4,5,1747.9,1.6
