VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
1982.0,BUS,M A N,1,4.0,6.0,41.0,9450.0,2.0
1984.0,BUS,LEY,1,4.0,6.0,42.0,9630.0,4.0
1985.0,BUS,VOLVO,1,4.0,6.0,49.0,9155.0,1.0
1987.0,BUS,AUSTRL,1,6.0,6.0,53.0,13230.0,1.0
1987.0,BUS,MERC B,1,6.0,8.0,49.0,12450.0,1.0
1987.0,BUS,VOLVO,2,4.0,6.0,41.0,9095.0,1.5
1988.0,BUS,M A N,1,4.0,6.0,41.0,10160.0,2.0
1988.0,BUS,MERC B,1,4.0,6.0,44.0,9370.0,5.0
1988.0,BUS,VOLVO,3,4.0,6.0,45.0,9253.333333333334,1.0
1990.0,BUS,MERC B,1,6.0,8.0,49.0,13400.0,1.0
