VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,ACCIDENT_NO,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2024.0,TIPPER,VOLVO,1,6.0,6.0,2.0,10160.0,1.0
1971.0,P MVR,KENWTH,1,6.0,6.0,2.0,8750.0,1.0
1972.0,TANKER,MERC B,1,6.0,6.0,3.0,10800.0,1.0
1974.0,CYCLE,HONDA,1,10.0,6.0,3.0,7710.0,1.0
1974.0,P MVR,R F W,1,12.0,8.0,2.0,8920.0,1.0
1976.0,TIPPER,KENWTH,1,6.0,6.0,2.0,10100.0,1.0
1976.0,TRAY,INTERN,1,6.0,8.0,3.0,8990.0,1.0
1977.0,TIPPER,FORD,1,6.0,8.0,2.0,2740.0,1.0
1977.0,TIPPER,KENWTH,1,6.0,6.0,2.0,9960.0,1.0
1978.0,P MVR,KENWTH,1,6.0,8.0,2.0,8340.0,1.0
